Item	Fy	Fz	Fx	F'y	F'z	F'x	ErrorFy	ErrorFz	ErrorFx
0	0.0	0.0	0.0	0.334288110053	0.239941718341	0.580100041459	0.0167144055026	0.011997085917	0.0290050020729
1	0.0	0.0	2.0	0.53877224987	0.118363439276	1.25410287166	0.0269386124935	0.00591817196379	0.0372948564168
2	0.0	0.0	4.0	0.557191156245	0.0556405180394	2.76273577797	0.0278595578122	0.00278202590197	0.0618632111015
3	0.0	0.0	6.0	0.729376592945	-0.157670774148	5.05911592407	0.0364688296472	0.00788353870738	0.0470442037967
4	0.0	0.0	8.0	0.656029740045	-0.260374166286	7.66275198244	0.0328014870022	0.0130187083143	0.0168624008779
5	0.0	0.0	10.0	0.454313230231	-0.300743914543	10.2952397306	0.0227156615115	0.0150371957271	0.014761986531
6	0.0	0.0	12.0	0.191856188527	-0.292732952499	12.7909951205	0.00959280942633	0.0146366476249	0.0395497560272
7	0.0	0.0	14.0	-0.0867193848361	-0.204875585982	14.900857015	0.0043359692418	0.0102437792991	0.0450428507513
8	0.0	0.0	16.0	-0.312798485723	-0.0836891153074	16.6039397607	0.0156399242862	0.00418445576537	0.0301969880326
9	0.0	0.0	18.0	-0.303742781502	0.0738454298849	17.9356524006	0.0151871390751	0.00369227149425	0.00321737996845
10	0.0	0.0	20.0	-0.057098387856	0.232982551096	19.0105070927	0.0028549193928	0.0116491275548	0.0494746453636
11	0.0	0.0	20.0	-0.0482698153668	0.24365467166	19.0006772808	0.00241349076834	0.012182733583	0.0499661359617
12	0.0	0.0	18.0	-0.250859456462	0.203361101657	17.797599836	0.0125429728231	0.0101680550829	0.0101200082007
13	0.0	0.0	16.0	-0.347717229998	0.122122966471	16.3451039865	0.0173858614999	0.00610614832355	0.0172551993256
14	0.0	0.0	14.0	-0.267100921334	-0.0077078788815	14.6145543551	0.0133550460667	0.000385393944075	0.0307277177561
15	0.0	0.0	12.0	-0.0638899909344	-0.0832806548293	12.501519957	0.00319449954672	0.00416403274147	0.0250759978507
16	0.0	0.0	10.0	0.217593307869	-0.15797585605	10.1345130913	0.0108796653935	0.00789879280249	0.00672565456351
17	0.0	0.0	8.0	0.394783450201	-0.129546395509	7.48066657071	0.0197391725101	0.00647731977546	0.0259666714647
18	0.0	0.0	6.0	0.544562172375	-0.0749789754273	4.9692304719	0.0272281086188	0.00374894877136	0.051538476405
19	0.0	0.0	4.0	0.607274485816	0.00915226471537	2.79972664403	0.0303637242908	0.000457613235768	0.0600136677986
20	0.0	0.0	2.0	0.538688057209	0.11217787555	1.26235580304	0.0269344028605	0.00560889377751	0.0368822098478
21	0.0	0.0	0.0	0.401512172859	0.19779075248	0.591591273852	0.020075608643	0.00988953762398	0.0295795636926
