Average value of the test data ---->Fx+Test1Avr.txt						
num	Item	Item	Item	Uy	Uz	Ux
0	0	0	0	0.51337	-1.10758	0.48625
1	0	0	2	0.51405	-1.11225	0.46456
2	0	0	4	0.51405	-1.11647	0.44286
3	0	0	6	0.51412	-1.12222	0.42134
4	0	0	8	0.5143	-1.12702	0.39981
5	0	0	10	0.51448	-1.13112	0.3785
6	0	0	12	0.51458	-1.1346	0.35696
7	0	0	14	0.51455	-1.13698	0.33557
8	0	0	16	0.51542	-1.13867	0.31472
9	0	0	18	0.5155	-1.13999	0.29358
10	0	0	20	0.51543	-1.14141	0.27124
11	0	0	20	0.51539	-1.14133	0.27114
12	0	0	18	0.51501	-1.13891	0.29288
13	0	0	16	0.51499	-1.13673	0.31432
14	0	0	14	0.51495	-1.13487	0.33574
15	0	0	12	0.51476	-1.13234	0.35696
16	0	0	10	0.51485	-1.12959	0.37828
17	0	0	8	0.51518	-1.12555	0.40008
18	0	0	6	0.51496	-1.12133	0.42145
19	0	0	4	0.51451	-1.11687	0.44295
20	0	0	2	0.51425	-1.11231	0.46449
21	0	0	0	0.51357	-1.10801	0.48586
