Item	Fy	Fz	Fx	F'y	F'z	F'x	ErrorFy	ErrorFz	ErrorFx
0	0.0	0.0	0.0	0.265479851613	0.101322812014	0.597026895993	0.0132739925806	0.00506614060072	0.0298513447997
1	0.0	0.0	2.0	0.449624663175	0.0102730764204	1.14749098471	0.0224812331587	0.000513653821021	0.0426254507644
2	0.0	0.0	4.0	0.406076854848	-0.0337708873346	2.48820949082	0.0203038427424	0.00168854436673	0.075589525459
3	0.0	0.0	6.0	0.397492821439	-0.119368230037	4.55533615951	0.0198746410719	0.00596841150186	0.0722331920245
4	0.0	0.0	8.0	0.318055839647	-0.188768329651	7.13174808379	0.0159027919824	0.00943841648255	0.0434125958106
5	0.0	0.0	10.0	0.223092082428	-0.234237896638	9.89618833169	0.0111546041214	0.0117118948319	0.00519058341553
6	0.0	0.0	12.0	0.188773509115	-0.249652036988	12.5606201024	0.00943867545577	0.0124826018494	0.028031005121
7	0.0	0.0	14.0	0.218919142208	-0.215964564642	14.8801007208	0.0109459571104	0.0107982282321	0.0440050360382
8	0.0	0.0	16.0	0.211250212873	-0.108266520984	16.6882010944	0.0105625106436	0.00541332604922	0.0344100547206
9	0.0	0.0	18.0	0.228309060743	0.061457198954	17.9957364783	0.0114154530372	0.0030728599477	0.000213176083008
10	0.0	0.0	20.0	0.24714037902	0.295291288692	18.8441486332	0.012357018951	0.0147645644346	0.0577925683394
11	0.0	0.0	20.0	0.32204132172	0.276438358223	18.8524168475	0.016102066086	0.0138219179111	0.0573791576266
12	0.0	0.0	18.0	-0.063134770935	0.134731800845	17.9934707858	0.00315673854675	0.00673659004227	0.000326460710671
13	0.0	0.0	16.0	-0.321589244219	0.0239327826286	16.7364768526	0.0160794622109	0.00119663913143	0.036823842631
14	0.0	0.0	14.0	-0.514969496916	-0.0320212895251	15.0364396298	0.0257484748458	0.00160106447625	0.0518219814906
15	0.0	0.0	12.0	-0.535773914917	-0.0614968884335	12.8811122485	0.0267886957458	0.00307484442168	0.0440556124266
16	0.0	0.0	10.0	-0.33255169773	-0.0910006143839	10.2740570021	0.0166275848865	0.00455003071919	0.0137028501041
17	0.0	0.0	8.0	-0.285722945248	-0.0327839481423	7.53024552735	0.0142861472624	0.00163919740711	0.0234877236327
18	0.0	0.0	6.0	-0.179243375804	0.0363268684768	4.8855356938	0.00896216879019	0.00181634342384	0.0557232153101
19	0.0	0.0	4.0	-0.156455112156	0.136297815874	2.7222611605	0.00782275560781	0.00681489079372	0.0638869419751
20	0.0	0.0	2.0	-0.164109906221	0.226336777239	1.26762608907	0.00820549531104	0.0113168388619	0.0366186955463
21	0.0	0.0	0.0	-0.210756155027	0.307488062843	0.594128742986	0.0105378077513	0.0153744031422	0.0297064371493
