Item	Fy	Fz	Fx	F'y	F'z	F'x	ErrorFy	ErrorFz	ErrorFx
0	0.0	0.0	0.0	0.748531045961	-0.0840100687986	0.579154575484	0.0374265522981	0.00420050343993	0.0289577287742
1	2.0	0.0	0.0	1.09545907711	-0.226344885884	0.502433481604	0.0452270461446	0.0113172442942	0.0251216740802
2	4.0	0.0	0.0	2.386448385	-0.323982366509	0.374519216091	0.0806775807498	0.0161991183254	0.0187259608046
3	6.0	0.0	0.0	4.62697583679	-0.36137875292	0.231570185622	0.0686512081605	0.018068937646	0.0115785092811
4	8.0	0.0	0.0	6.98431250691	-0.288940665975	0.117306050862	0.0507843746544	0.0144470332987	0.00586530254308
5	10.0	0.0	0.0	9.55027574274	-0.184071809255	-0.00267447085581	0.0224862128629	0.00920359046275	0.00013372354279
6	12.0	0.0	0.0	11.9625109184	-0.0602379134283	-0.0680470776335	0.00187445407823	0.00301189567141	0.00340235388167
7	14.0	0.0	0.0	14.2850650125	0.0581374022584	-0.0977163492224	0.0142532506231	0.00290687011292	0.00488581746112
8	16.0	0.0	0.0	16.276877406	0.155302591277	-0.0818013824099	0.0138438703002	0.00776512956386	0.00409006912049
9	18.0	0.0	0.0	17.9034631621	0.230929976445	0.0441953969554	0.00482684189723	0.0115464988222	0.00220976984777
10	20.0	0.0	0.0	19.2765085986	0.275900664036	0.193191456992	0.0361745700709	0.0137950332018	0.0096595728496
11	20.0	0.0	0.0	19.3093139278	0.270233658037	0.19131048672	0.0345343036123	0.0135116829018	0.00956552433602
12	18.0	0.0	0.0	18.1228686972	0.207869158155	0.0160218948599	0.00614343485991	0.0103934579077	0.000801094742997
13	16.0	0.0	0.0	16.673612505	0.125737833149	-0.130930296493	0.03368062525	0.00628689165745	0.00654651482464
14	14.0	0.0	0.0	14.8286613327	0.0309389370121	-0.175695748988	0.0414330666363	0.00154694685061	0.00878478744942
15	12.0	0.0	0.0	12.8972157713	-0.092046553687	-0.184236152758	0.0448607885634	0.00460232768435	0.00921180763792
16	10.0	0.0	0.0	10.6109169277	-0.220269760503	-0.131063252543	0.0305458463832	0.0110134880252	0.00655316262716
17	8.0	0.0	0.0	8.11652752048	-0.334133921	-0.0325776541265	0.0058263760241	0.01670669605	0.00162888270632
18	6.0	0.0	0.0	5.44884610673	-0.412908173986	0.153122371063	0.0275576946636	0.0206454086993	0.00765611855316
19	4.0	0.0	0.0	3.84096703139	-0.479671951379	0.270671929215	0.00795164843058	0.023983597569	0.0135335964608
20	2.0	0.0	0.0	1.89760185355	-0.378209940726	0.450881362801	0.00511990732236	0.0189104970363	0.0225440681401
21	0.0	0.0	0.0	1.12356614184	-0.219516159525	0.568465100654	0.0561783070919	0.0109758079763	0.0284232550327
