Average value of the test data ---->Fy+Test1Avr.txt						
num	Item	Item	Item	Uy	Uz	Ux
0	0	0	0	0.52082	-1.1091	0.49442
1	2	0	0	0.53987	-1.11123	0.49161
2	4	0	0	0.5604	-1.11384	0.49002
3	6	0	0	0.58104	-1.11713	0.48811
4	8	0	0	0.60198	-1.1198	0.4859
5	10	0	0	0.62256	-1.12239	0.48446
6	12	0	0	0.64319	-1.12474	0.48289
7	14	0	0	0.66455	-1.12709	0.48157
8	16	0	0	0.68565	-1.12927	0.48047
9	18	0	0	0.70686	-1.13137	0.47879
10	20	0	0	0.7281	-1.13345	0.47753
11	20	0	0	0.72811	-1.13355	0.4776
12	18	0	0	0.70734	-1.13185	0.4793
13	16	0	0	0.6865	-1.13	0.48126
14	14	0	0	0.66571	-1.12791	0.48266
15	12	0	0	0.64538	-1.12601	0.4844
16	10	0	0	0.62467	-1.12377	0.48613
17	8	0	0	0.60415	-1.1212	0.48802
18	6	0	0	0.58276	-1.11832	0.48925
19	4	0	0	0.5634	-1.11643	0.49173
20	2	0	0	0.54262	-1.11303	0.49306
21	0	0	0	0.52249	-1.11031	0.49565
