Item	Fy	Fz	Fx	F'y	F'z	F'x	ErrorFy	ErrorFz	ErrorFx
0	0.0	0.0	0.0	-0.183511325537	0.676893022823	0.488174135938	0.00917556627687	0.0338446511411	0.0244087067969
1	2.0	0.0	0.0	1.40906852829	0.618054927536	0.448178121129	0.0295465735856	0.0309027463768	0.0224089060564
2	4.0	0.0	0.0	3.35762411661	0.417525262391	0.404106453952	0.0321187941694	0.0208762631195	0.0202053226976
3	6.0	0.0	0.0	5.59152466918	0.0667814217075	0.343407011887	0.0204237665412	0.00333907108538	0.0171703505943
4	8.0	0.0	0.0	7.69454533217	0.106452098644	0.209274538158	0.0152727333916	0.00532260493221	0.0104637269079
5	10.0	0.0	0.0	9.92060025747	0.0775006839786	0.0903754215708	0.00396998712649	0.00387503419893	0.00451877107854
6	12.0	0.0	0.0	12.108989544	-0.00947040728972	-0.0208351066751	0.00544947719917	0.000473520364486	0.00104175533375
7	14.0	0.0	0.0	14.3128627331	-0.13723255966	-0.152277863452	0.0156431366575	0.00686162798299	0.00761389317259
8	16.0	0.0	0.0	16.3033327141	-0.0599422220664	-0.167822166847	0.0151666357062	0.00299711110332	0.00839110834236
9	18.0	0.0	0.0	17.967774989	-0.0329394407809	-0.100151363944	0.00161125055113	0.00164697203905	0.00500756819719
10	20.0	0.0	0.0	19.4265415335	-0.0605762032878	0.0446663426323	0.0286729233264	0.00302881016439	0.00223331713162
11	20.0	0.0	0.0	19.4311254921	-0.0612560928107	0.0391539249586	0.0284437253943	0.00306280464053	0.00195769624793
12	18.0	0.0	0.0	18.0446871593	-0.000316394990985	-0.113654299302	0.00223435796735	1.58197495492e-05	0.00568271496512
13	16.0	0.0	0.0	16.3627368236	0.0234323737515	-0.185698408255	0.0181368411815	0.00117161868757	0.00928492041274
14	14.0	0.0	0.0	14.4212623727	-0.0049167879301	-0.161996537444	0.0210631186342	0.000245839396505	0.00809982687222
15	12.0	0.0	0.0	12.3157788481	-0.0643055971178	-0.0715663158901	0.0157889424066	0.00321527985589	0.00357831579451
16	10.0	0.0	0.0	10.0739910566	-0.132989506545	0.0651205120188	0.00369955282833	0.00664947532724	0.00325602560094
17	8.0	0.0	0.0	7.87145952727	-0.212030375297	0.229606111605	0.00642702363634	0.0106015187648	0.0114803055802
18	6.0	0.0	0.0	5.73484953027	-0.156191409279	0.373218936958	0.0132575234863	0.00780957046395	0.0186609468479
19	4.0	0.0	0.0	3.62271779102	0.0737937507666	0.462416326528	0.0188641104492	0.00368968753833	0.0231208163264
20	2.0	0.0	0.0	1.45550270082	0.540695599501	0.462311528826	0.0272248649589	0.0270347799751	0.0231155764413
21	0.0	0.0	0.0	-0.201019710402	0.671177335635	0.490422497889	0.0100509855201	0.0335588667817	0.0245211248945
