Item	Fy	Fz	Fx	F'y	F'z	F'x	ErrorFy	ErrorFz	ErrorFx
0	0.0	0.0	0.0	1.01218248692	0.247311889398	0.569860774877	0.0506091243458	0.0123655944699	0.0284930387438
1	0.0	2.0	0.0	-0.100057011797	1.53513905705	0.438683734614	0.00500285058986	0.0232430471477	0.0219341867307
2	0.0	4.0	0.0	-0.440447068315	3.14736012805	0.2889540153	0.0220223534158	0.0426319935974	0.014447700765
3	0.0	6.0	0.0	-0.301812759043	5.07477215511	0.152100235733	0.0150906379522	0.0462613922447	0.00760501178665
4	0.0	8.0	0.0	-0.0269195536147	7.21466044033	0.0409836579283	0.00134597768073	0.0392669779834	0.00204918289642
5	0.0	10.0	0.0	0.080131627864	9.42678912733	0.0369228998076	0.0040065813932	0.0286605436334	0.00184614499038
6	0.0	12.0	0.0	0.0140085652147	11.6366738787	0.101329090243	0.000700428260733	0.0181663060672	0.00506645451216
7	0.0	14.0	0.0	0.218769507241	13.9273131404	-0.0650921034363	0.0109384753621	0.00363434297822	0.00325460517181
8	0.0	16.0	0.0	0.175774341369	16.1333533448	-0.134633555057	0.00878871706845	0.0066676672406	0.00673167775285
9	0.0	18.0	0.0	0.0569387570063	18.0333518563	-0.183023239416	0.00284693785031	0.00166759281569	0.0091511619708
10	0.0	20.0	0.0	-0.345754899215	19.6692242795	0.00663893431467	0.0172877449608	0.0165387860254	0.000331946715733
11	0.0	20.0	0.0	-0.345186125216	19.6744935919	0.00772147347823	0.0172593062608	0.0162753204037	0.000386073673912
12	0.0	18.0	0.0	0.0174049763236	18.1207205651	-0.0947658095537	0.000870248816179	0.00603602825389	0.00473829047769
13	0.0	16.0	0.0	0.265985359085	16.2997045414	-0.100691630681	0.0132992679542	0.0149852270723	0.00503458153403
14	0.0	14.0	0.0	0.343265826898	14.338288578	-0.0279848295667	0.0171632913449	0.0169144289012	0.00139924147834
15	0.0	12.0	0.0	0.204291412366	12.2259728036	0.0440460424589	0.0102145706183	0.0112986401801	0.00220230212294
16	0.0	10.0	0.0	0.309466079219	10.600483075	0.0566809911914	0.0154733039609	0.0300241537501	0.00283404955957
17	0.0	8.0	0.0	0.150917567569	8.46085386045	0.0204978193925	0.00754587837844	0.0230426930227	0.00102489096963
18	0.0	6.0	0.0	-0.228421706019	6.30348493777	0.00837053929127	0.011421085301	0.0151742468883	0.000418526964564
19	0.0	4.0	0.0	-0.545820687574	4.29208532273	0.103586009708	0.0272910343787	0.0146042661366	0.0051793004854
20	0.0	2.0	0.0	-0.637318605666	2.50088190187	0.290473465213	0.0318659302833	0.0250440950936	0.0145236732607
21	0.0	0.0	0.0	0.0149668272466	1.02403202923	0.472246428359	0.000748341362332	0.0512016014614	0.023612321418
