Average value of the test data ---->Fz+Test1Avr.txt						
num	Item	Item	Item	Uy	Uz	Ux
0	0	0	0	0.50087	-1.10712	0.49161
1	0	2	0	0.50062	-1.09744	0.49316
2	0	4	0	0.50028	-1.08789	0.49432
3	0	6	0	0.49975	-1.07823	0.4954
4	0	8	0	0.49961	-1.06864	0.49623
5	0	10	0	0.50029	-1.05917	0.49767
6	0	12	0	0.50128	-1.04983	0.4994
7	0	14	0	0.49916	-1.04063	0.49779
8	0	16	0	0.49653	-1.03118	0.49625
9	0	18	0	0.49195	-1.02252	0.49318
10	0	20	0	0.48809	-1.01349	0.49431
11	0	20	0	0.48802	-1.01346	0.49431
12	0	18	0	0.49156	-1.02183	0.49475
13	0	16	0	0.49467	-1.03043	0.49641
14	0	14	0	0.49719	-1.03889	0.49807
15	0	12	0	0.49974	-1.04757	0.49883
16	0	10	0	0.49874	-1.05435	0.49835
17	0	8	0	0.4992	-1.06333	0.49689
18	0	6	0	0.50061	-1.07272	0.49497
19	0	4	0	0.5017	-1.08215	0.49341
20	0	2	0	0.50321	-1.09156	0.49251
21	0	0	0	0.5032	-1.101	0.49165
